0.0	-20.0	0.00418
0.0	-16.0	0.00366
0.0	-12.0	0.00819
0.0	-8.0	0.00864
0.0	-4.0	0.00486
0.0	0.0	0.00000
0.0	4.0	0.00000
0.0	8.0	0.00000
0.0	12.0	0.00000
0.0	16.0	0.00000
4.0	-20.0	0.00835
4.0	-16.0	0.00576
4.0	-12.0	0.00629
4.0	-8.0	0.00538
4.0	-4.0	0.00212
4.0	0.0	0.63308
4.0	4.0	0.18333
4.0	8.0	0.16870
4.0	12.0	0.16401
4.0	16.0	0.16028
8.0	-20.0	0.00878
8.0	-16.0	0.00605
8.0	-12.0	0.00661
8.0	-8.0	0.00557
8.0	-4.0	0.00210
8.0	0.0	0.68360
8.0	4.0	0.18292
8.0	8.0	0.16855
8.0	12.0	0.16372
8.0	16.0	0.16038
12.0	-20.0	0.00909
12.0	-16.0	0.00599
12.0	-12.0	0.00662
12.0	-8.0	0.00589
12.0	-4.0	0.00209
12.0	0.0	0.69516
12.0	4.0	0.18306
12.0	8.0	0.16861
12.0	12.0	0.16400
12.0	16.0	0.16040
16.0	-20.0	0.00888
16.0	-16.0	0.00631
16.0	-12.0	0.00683
16.0	-8.0	0.00559
16.0	-4.0	0.00203
16.0	0.0	0.70024
16.0	4.0	0.18322
16.0	8.0	0.16856
16.0	12.0	0.16392
16.0	16.0	0.16001
20.0	-20.0	0.00925
20.0	-16.0	0.00662
20.0	-12.0	0.00659
20.0	-8.0	0.00576
20.0	-4.0	0.00216
20.0	0.0	0.70303
20.0	4.0	0.18305
20.0	8.0	0.16893
20.0	12.0	0.16382
20.0	16.0	0.16009
24.0	-20.0	0.00832
24.0	-16.0	0.00568
24.0	-12.0	0.00623
24.0	-8.0	0.00547
24.0	-4.0	0.00214
24.0	0.0	0.70565
24.0	4.0	0.18309
24.0	8.0	0.16875
24.0	12.0	0.16389
24.0	16.0	0.16008
28.0	-20.0	0.00909
28.0	-16.0	0.00631
28.0	-12.0	0.00688
28.0	-8.0	0.00606
28.0	-4.0	0.00220
28.0	0.0	0.70661
28.0	4.0	0.18324
28.0	8.0	0.16868
28.0	12.0	0.16374
28.0	16.0	0.16030
32.0	-20.0	0.00832
32.0	-16.0	0.00569
32.0	-12.0	0.00621
32.0	-8.0	0.00553
32.0	-4.0	0.00214
32.0	0.0	0.70793
32.0	4.0	0.18340
32.0	8.0	0.16887
32.0	12.0	0.16382
32.0	16.0	0.16056
36.0	-20.0	0.00833
36.0	-16.0	0.00570
36.0	-12.0	0.00625
36.0	-8.0	0.00550
36.0	-4.0	0.00238
36.0	0.0	0.70897
36.0	4.0	0.18292
36.0	8.0	0.16885
36.0	12.0	0.16371
36.0	16.0	0.16037
