3	0.40925
4	0.43735
5	0.45939
6	0.47685
7	0.49076
8	0.50092
9	0.51051
10	0.51844
12	0.53160
14	0.54207
16	0.54971
18	0.55596
20	0.56157
22	0.56602
24	0.56943
26	0.57252
28	0.57444
30	0.57622
32	0.57729
34	0.57794
36	0.57810
38	0.57777
40	0.57795
44	0.57648
48	0.57620
50	0.57459
52	0.57397
55	0.57243
56	0.57190
60	0.57111
64	0.56968
68	0.56801
70	0.56683
72	0.56612
76	0.56332
80	0.56069
84	0.55849
88	0.55702
90	0.55594
92	0.55524
96	0.55375
100	0.55267
104	0.55114
108	0.55017
110	0.54895
112	0.54858
116	0.54739
120	0.54580
124	0.54410
128	0.54269
