3	0.44300
4	0.46941
5	0.49167
6	0.50941
7	0.52119
8	0.52983
9	0.53823
10	0.54500
12	0.55966
14	0.57280
16	0.58136
18	0.58890
20	0.59318
22	0.59453
24	0.59378
26	0.59218
28	0.58802
30	0.58432
32	0.57906
34	0.57438
36	0.56883
38	0.56565
40	0.56211
44	0.55603
48	0.55137
50	0.54931
52	0.54841
55	0.54657
56	0.54711
60	0.54432
64	0.54414
68	0.54567
70	0.54592
72	0.54624
76	0.54666
80	0.54753
84	0.54735
88	0.54713
90	0.54694
92	0.54781
96	0.54979
100	0.55048
104	0.55161
108	0.55256
110	0.55276
112	0.55343
116	0.55676
120	0.55739
124	0.55804
128	0.55878
