3	0.37917
4	0.40222
5	0.41849
6	0.43276
7	0.44241
8	0.45197
9	0.45989
10	0.46631
12	0.47640
14	0.48438
16	0.49109
18	0.49633
20	0.50049
22	0.50408
24	0.50709
26	0.50943
28	0.51077
30	0.51189
32	0.51253
34	0.51287
36	0.51374
38	0.51452
40	0.51419
44	0.51434
48	0.51440
50	0.51439
52	0.51390
55	0.51335
56	0.51291
60	0.51159
64	0.51078
68	0.50978
70	0.50897
72	0.50819
76	0.50592
80	0.50443
84	0.50333
88	0.50219
90	0.50144
92	0.50065
96	0.49917
100	0.49818
104	0.49693
108	0.49504
110	0.49450
112	0.49410
116	0.49235
120	0.49139
124	0.49021
128	0.48941
