3	0.367	0.192	19.274	10.2	0.445	0.001
4	0.390	0.169	23.650	12.2	0.468	0.001
5	0.409	0.154	27.828	14.0	0.486	0.001
6	0.424	0.141	31.854	15.7	0.499	0.002
7	0.436	0.132	35.624	17.4	0.508	0.002
8	0.446	0.124	39.357	19.0	0.518	0.002
9	0.455	0.117	43.206	20.7	0.525	0.002
10	0.462	0.111	46.729	22.2	0.531	0.002
12	0.473	0.102	53.954	25.4	0.543	0.003
14	0.483	0.096	60.839	28.3	0.551	0.003
16	0.491	0.091	67.436	31.0	0.558	0.003
18	0.496	0.087	73.996	33.8	0.564	0.004
20	0.500	0.083	80.468	36.4	0.571	0.004
22	0.504	0.080	86.578	38.9	0.577	0.005
24	0.506	0.077	92.844	41.5	0.581	0.005
26	0.507	0.076	98.766	43.9	0.585	0.005
28	0.509	0.074	104.793	46.4	0.589	0.006
30	0.509	0.073	110.523	48.7	0.593	0.006
32	0.510	0.072	116.346	51.0	0.596	0.006
34	0.509	0.070	122.083	53.4	0.599	0.007
36	0.510	0.069	127.645	55.7	0.601	0.007
38	0.509	0.068	133.060	57.8	0.603	0.007
40	0.509	0.068	138.361	59.9	0.606	0.008
44	0.509	0.066	148.840	63.9	0.610	0.008
48	0.507	0.066	158.877	67.9	0.614	0.009
52	0.505	0.065	168.717	71.9	0.618	0.009
55	0.502	0.064	175.805	74.7	0.620	0.010
56	0.502	0.064	178.190	75.7	0.621	0.010
60	0.501	0.062	188.172	79.6	0.624	0.010
64	0.500	0.058	197.593	83.2	0.627	0.011
68	0.500	0.057	206.808	86.8	0.629	0.012
72	0.499	0.056	215.999	90.4	0.631	0.012
76	0.497	0.056	224.873	93.8	0.635	0.013
80	0.495	0.055	233.732	97.3	0.637	0.013
84	0.494	0.055	242.447	100.9	0.639	0.014
88	0.492	0.054	251.020	104.3	0.640	0.014
92	0.490	0.054	259.659	107.6	0.642	0.015
96	0.488	0.054	268.278	110.9	0.644	0.015
100	0.487	0.053	276.684	114.1	0.646	0.016
104	0.485	0.053	284.935	117.3	0.648	0.016
108	0.483	0.053	292.997	120.4	0.650	0.017
112	0.481	0.053	301.542	123.7	0.652	0.017
116	0.478	0.052	309.638	126.9	0.653	0.018
120	0.474	0.052	317.683	130.3	0.654	0.018
124	0.473	0.052	325.773	133.6	0.655	0.019
128	0.471	0.051	333.646	136.8	0.656	0.020
