3	0.50542
4	0.53397
5	0.55582
6	0.57162
7	0.58315
8	0.59392
9	0.60453
10	0.61202
12	0.62363
14	0.63002
16	0.63555
18	0.64033
20	0.64267
22	0.64536
24	0.64862
26	0.65126
28	0.65341
30	0.65482
32	0.65519
34	0.65619
36	0.65620
38	0.65650
40	0.65508
44	0.65443
48	0.65356
50	0.65298
52	0.65261
55	0.65146
56	0.65135
60	0.64987
64	0.64953
68	0.64805
70	0.64792
72	0.64704
76	0.64545
80	0.64421
84	0.64344
88	0.64139
90	0.64086
92	0.64025
96	0.63978
100	0.63738
104	0.63542
108	0.63389
110	0.63299
112	0.63247
116	0.63016
120	0.62823
124	0.62624
128	0.62557
