3	0.43354
4	0.46299
5	0.48380
6	0.49974
7	0.51269
8	0.52381
9	0.53277
10	0.54249
12	0.55536
14	0.56470
16	0.57430
18	0.58260
20	0.58822
22	0.59274
24	0.59664
26	0.60060
28	0.60318
30	0.60592
32	0.60867
34	0.60976
36	0.61002
38	0.60988
40	0.61020
44	0.61048
48	0.60926
50	0.60817
52	0.60721
55	0.60565
56	0.60453
60	0.60225
64	0.59997
68	0.59590
70	0.59394
72	0.59264
76	0.58773
80	0.58387
84	0.57989
88	0.57660
90	0.57454
92	0.57196
96	0.56924
100	0.56681
104	0.56379
108	0.56190
110	0.55996
112	0.55888
116	0.55638
120	0.55415
124	0.55252
128	0.55031
